id,modelName,expName,algoName,sampleTime,numEpisode,elapsedTime,bestRob
1,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,38,63.10534,-0.333333333333333
2,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,26,44.586156,-0.333333333333333
3,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,32,60.287991,-0.333333333333333
4,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,163,393.556529,-0.333333333333333
5,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,200,506.627954,0.333333333333333
6,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,57,154.147667,-0.333333333333333
7,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,5,12.401942,-0.333333333333333
8,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,26,64.269061,-0.333333333333333
9,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,32,67.063838,-0.333333333333333
10,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,3,8.3743,-0.333333333333333
11,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,200,459.3192,0.333333333333333
12,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,14,31.917969,-0.333333333333333
13,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,4,9.584057,-0.333333333333333
14,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,8,17.239204,-0.333333333333333
15,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,22,49.877378,-0.333333333333333
16,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,15,34.863812,-0.333333333333333
17,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,41,93.425239,-0.333333333333333
18,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,4,9.171064,-0.333333333333333
19,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,7,15.88227,-0.333333333333333
20,AT_RL_A3C_AT_formula3_Time_1,formula3,RL_DDQN,1,14,31.761044,-0.333333333333333
