id,modelName,expName,algoName,sampleTime,numEpisode,elapsedTime,bestRob
1,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,2.365411,-0.0872553353716234
2,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,1.082299,-0.014256082786113
3,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,2,1.916051,-0.000130447590551557
4,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,4,3.587388,-0.0813504711934922
5,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.792356,-0.105397915499462
6,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,2,1.534386,-0.0248267843322763
7,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,4,3.874312,-0.00908499464390479
8,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.722645,-0.0429943618356479
9,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.711265,-0.0799948472477001
10,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,3,3.157123,-0.107373208084956
11,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,3,2.598121,-0.0634761980638334
12,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,3,3.017772,-0.0591683050914009
13,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.745809,-0.0802703995298645
14,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.722668,-0.0792303012815741
15,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.708208,-0.106522137007624
16,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,3,2.365504,-0.100608135908806
17,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,4,3.859948,-0.0799530996812853
18,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,2,2.366469,-0.0800994960509448
19,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,1,0.738089,-0.103898033058194
20,AT_RL_A3C_AT_formula2_Time_5,formula2,RL_DDQN,5,4,3.877184,-0.0685492674200446
