id,modelName,expName,algoName,sampleTime,numEpisode,elapsedTime,bestRob
1,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,2.389834,-0.100046733217334
2,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,5,4.799243,-0.0869643168073533
3,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,17,12.915059,-0.0708393583477613
4,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,3,2.316283,-0.0120827137959874
5,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,2,1.57767,-0.106979316193632
6,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,4,3.327584,-0.0803379585335322
7,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,5,3.794236,-0.0537847844851069
8,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,5,3.833515,-0.080140412899958
9,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,5,3.885756,-0.0410095025181614
10,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.738032,-0.0383627845430114
11,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,2,1.550665,-0.0742244199675504
12,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.739088,-0.107099993364098
13,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,3,2.335082,-0.10333805706982
14,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.735059,-0.00935991382628199
15,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.719789,-0.0890123872583979
16,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.736368,-0.0391743313886072
17,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.723576,-0.0186269220195478
18,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.726593,-0.0678011752255181
19,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,7,6.080212,-0.0487879349999617
20,AT_RL_A3C_AT_formula1_Time_5,formula1,RL_DDQN,5,1,0.725994,-0.105633773428873
