id,modelName,expName,algoName,sampleTime,numEpisode,elapsedTime,bestRob
1,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,2,4.448348,-0.0393520344940964
2,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,1,1.570827,-0.0405497958905125
3,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,15,18.233521,-0.0813687798209732
4,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,12,14.455181,-0.109791157861493
5,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,1,1.196328,-0.0369808012285386
6,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,5,6.036722,-0.0346519743324698
7,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,3,3.583175,-0.0231262126559461
8,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,3,3.582364,-0.0504054111894686
9,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,2,2.410647,-0.0471336504932489
10,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,1,1.223292,-0.0377098019450717
11,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,2,2.435219,-0.0653333975650501
12,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,1,1.173524,-0.102078759368245
13,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,5,6.390518,-0.0922404014654145
14,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,5,6.050958,-0.0791341683603005
15,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,4,4.849835,-0.00661149449295335
16,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,6,7.955681,-0.0800204570219659
17,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,1,1.327617,-0.0228957559219918
18,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,2,2.385183,-0.0396386147908361
19,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,5,7.127408,-0.103031362993961
20,AT_RL_A3C_AT_formula1_Time_1,formula1,RL_DDQN,1,2,2.393734,-0.0458726698131373
